movie,genre
The Witcher,"Action, Adventure, Drama"
Mission: Impossible - Dead Reckoning Part One,"Action, Adventure, Thriller"
Sound of Freedom,"Action, Biography, Drama"
Secret Invasion,"Action, Adventure, Drama"
Special Ops: Lioness,"Action, Drama, Thriller"
They Cloned Tyrone,"Action, Comedy, Mystery"
Star Trek: Strange New Worlds,"Action, Adventure, Sci-Fi"
One Piece,"Action, Adventure, Comedy"
Twisted Metal,"Action, Adventure, Comedy"
The Flash,"Action, Adventure, Fantasy"
Jack Ryan,"Action, Drama, Thriller"
Transformers: Rise of the Beasts,"Action, Adventure, Sci-Fi"
Game of Thrones,"Action, Adventure, Drama"
Indiana Jones and the Dial of Destiny,"Action, Adventure"
Invincible,"Animation, Action, Adventure"
The Boys,"Action, Comedy, Crime"
The Out-Laws,"Action, Comedy, Crime"
Justified,"Action, Crime, Drama"
Guardians of the Galaxy Vol. 3,"Action, Adventure, Comedy"
Spider-Man: Across the Spider-Verse,"Animation, Action, Adventure"
The Marvels,"Action, Adventure, Fantasy"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Animation, Action, Adventure"
Inception,"Action, Adventure, Sci-Fi"
Tenet,"Action, Sci-Fi, Thriller"
The Dark Knight,"Action, Crime, Drama"
Guy Ritchie's The Covenant,"Action, Thriller, War"
Dunkirk,"Action, Drama, History"
Hidden Strike,"Action, Adventure, Comedy"
Bawaal,"Action, Drama, Romance"
John Wick: Chapter 4,"Action, Crime, Thriller"
Avatar: The Way of Water,"Action, Adventure, Fantasy"
Jujutsu Kaisen,"Animation, Action, Adventure"
One Piece: Wan pîsu,"Animation, Action, Adventure"
Warrior,"Action, Crime, Drama"
The Last of Us,"Action, Adventure, Drama"
Dungeons & Dragons: Honor Among Thieves,"Action, Adventure, Comedy"
The Rookie,"Action, Crime, Drama"
Dune: Part One,"Action, Adventure, Drama"
Meg 2: The Trench,"Action, Adventure, Horror"
NCIS: Naval Criminal Investigative Service,"Action, Crime, Drama"
Mission: Impossible - Fallout,"Action, Adventure, Thriller"
Shingeki no Kyojin,"Animation, Action, Adventure"
Extraction 2,"Action, Thriller"
Mission: Impossible,"Action, Adventure, Thriller"
Miraculous - Le film,"Animation, Action, Adventure"
Fear the Night,"Action, Thriller"
The Batman,"Action, Crime, Drama"
Top Gun: Maverick,"Action, Drama"
The Meg,"Action, Horror, Sci-Fi"
Gen V,"Action, Adventure, Comedy"
Resident Evil: Death Island,"Animation, Action, Adventure"
Gran Turismo,"Action, Adventure, Drama"
Sisu,"Action, War"
House of the Dragon,"Action, Adventure, Drama"
Fast X,"Action, Adventure, Crime"
Reacher,"Action, Crime, Drama"
Star Trek: Lower Decks,"Animation, Action, Adventure"
Barry,"Action, Comedy, Crime"
"Ruby Gillman, Teenage Kraken","Animation, Action, Adventure"
Almost Paradise,"Action, Crime, Drama"
The Flash,"Action, Adventure, Drama"
Nimona,"Animation, Action, Adventure"
Vikings,"Action, Adventure, Drama"
Dune: Part Two,"Action, Adventure, Drama"
The Mandalorian,"Action, Adventure, Fantasy"
Paradise,"Action, Sci-Fi, Thriller"
The Night Agent,"Action, Drama, Thriller"
Justice League: Warworld,"Animation, Action, Adventure"
Mission: Impossible - Rogue Nation,"Action, Adventure, Thriller"
The Dark Knight Rises,"Action, Drama, Thriller"
65,"Action, Adventure, Drama"
Napoleon,"Action, Adventure, Biography"
Everything Everywhere All at Once,"Action, Adventure, Comedy"
The Wheel of Time,"Action, Adventure, Drama"
Batman Begins,"Action, Crime, Drama"
The Channel,"Action, Crime, Thriller"
My Adventures with Superman,"Animation, Action, Adventure"
Nobody,"Action, Crime, Drama"
Mission: Impossible - Ghost Protocol,"Action, Adventure, Thriller"
Blue Beetle,"Action, Adventure, Sci-Fi"
Mission: Impossible III,"Action, Adventure, Thriller"
Blade Runner 2049,"Action, Drama, Mystery"
Bullet Train,"Action, Comedy, Thriller"
Titans,"Action, Adventure, Crime"
Spider-Man: Into the Spider-Verse,"Animation, Action, Adventure"
The Dragon Prince,"Animation, Action, Adventure"
Mission: Impossible II,"Action, Adventure, Thriller"
Drive,"Action, Drama"
Raiders of the Lost Ark,"Action, Adventure"
Harley Quinn,"Animation, Action, Adventure"
Kimetsu no Yaiba,"Animation, Action, Adventure"
Star Trek: The Next Generation,"Action, Adventure, Sci-Fi"
S.W.A.T.,"Action, Adventure, Crime"
Ahsoka,"Action, Adventure, Drama"
The Last Kingdom,"Action, Drama, History"
God Is a Bullet,"Action, Crime, Horror"
The Suicide Squad,"Action, Adventure, Comedy"
Spider-Man: No Way Home,"Action, Adventure, Fantasy"
Borderlands,"Action, Adventure, Comedy"
FUBAR,"Action, Adventure, Comedy"
Prison Break,"Action, Crime, Drama"
9/1/2001,"Action, Drama, Thriller"
Buffy the Vampire Slayer,"Action, Drama, Fantasy"
The Hunger Games,"Action, Adventure, Sci-Fi"
The Creator,"Action, Adventure, Drama"
Top Gun,"Action, Drama"
Star Trek: Discovery,"Action, Adventure, Drama"
Smallville,"Action, Adventure, Drama"
The Lord of the Rings: The Rings of Power,"Action, Adventure, Drama"
Avengers: Endgame,"Action, Adventure, Drama"
Ant-Man and the Wasp: Quantumania,"Action, Adventure, Comedy"
Misanthrope,"Action, Crime, Drama"
Miraculous: Tales of Ladybug & Cat Noir,"Animation, Action, Adventure"
The Nice Guys,"Action, Comedy, Crime"
Bleach: Sennen Kessen-hen,"Animation, Action, Adventure"
Heat,"Action, Crime, Drama"
Kalki 2898-AD,"Action, Drama, Fantasy"
Kandahar,"Action, Thriller"
Chicago Fire,"Action, Drama"
The Lord of the Rings: The Fellowship of the Ring,"Action, Adventure, Drama"
Bastille Day,"Action, Crime, Drama"
Person of Interest,"Action, Crime, Drama"
Star Trek,"Action, Adventure, Sci-Fi"
Andor,"Action, Adventure, Drama"
Cobra Kai,"Action, Comedy, Drama"
Indiana Jones and the Last Crusade,"Action, Adventure"
Banshee,"Action, Crime, Drama"
Extraction,"Action, Thriller"
Suicide Squad,"Action, Adventure, Fantasy"
Shazam! Fury of the Gods,"Action, Adventure, Comedy"
Transformers,"Action, Adventure, Sci-Fi"
Deadpool 3,"Action, Comedy, Sci-Fi"
Gladiator,"Action, Adventure, Drama"
The Continental: From the World of John Wick,"Action, Crime, Thriller"
Black Adam,"Action, Adventure, Fantasy"
La casa de papel,"Action, Crime, Drama"
Guardians of the Galaxy,"Action, Adventure, Comedy"
Operation Fortune: Ruse de Guerre,"Action, Comedy, Thriller"
Star Trek: Deep Space Nine,"Action, Adventure, Drama"
Expend4bles,"Action, Adventure, Thriller"
Ghosted,"Action, Adventure, Comedy"
The Unbearable Weight of Massive Talent,"Action, Comedy, Crime"
Man of Steel,"Action, Adventure, Sci-Fi"
Jurassic Park,"Action, Adventure, Sci-Fi"
The Hunger Games: The Ballad of Songbirds and Snakes,"Action, Adventure, Drama"
Arrow,"Action, Adventure, Crime"
Star Trek: Picard,"Action, Adventure, Drama"
Mad Max: Fury Road,"Action, Adventure, Sci-Fi"
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy"
Zack Snyder's Justice League,"Action, Adventure, Fantasy"
Venom: Let There Be Carnage,"Action, Sci-Fi, Thriller"
Plane,"Action, Adventure, Thriller"
Indiana Jones and the Temple of Doom,"Action, Adventure"
Agents of S.H.I.E.L.D.,"Action, Adventure, Drama"
Superman & Lois,"Action, Adventure, Drama"
Avatar,"Action, Adventure, Fantasy"
The Umbrella Academy,"Action, Adventure, Comedy"
The Gray Man,"Action, Thriller"
John Wick,"Action, Crime, Thriller"
