movie,runtime,certificate,rating,description,votes
The Witcher,60,A,8.1,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",539085
Mission: Impossible - Dead Reckoning Part One,163,UA,8.0,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,106759
Sound of Freedom,131,PG-13,7.9,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from sex traffickers.,41808
Secret Invasion,47,UA 16+,6.2,Fury and Talos try to stop the Skrulls who have infiltrated the highest spheres of the Marvel Universe.,40536
Special Ops: Lioness,0,NULL,7.5,"Joe attempts to balance her personal and professional life as the tip of the spear in the CIA's war on terror. She enlists Cruz, a female special operations Marine, as an undercover operative in the Lioness Program.",3203
They Cloned Tyrone,122,R,6.7,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.,14271
Star Trek: Strange New Worlds,52,Not Rated,8.3,"A prequel to Star Trek: The Original Series, the show follows the crew of the USS Enterprise under Captain Christopher Pike.",45723
One Piece,0,NULL,0.0,"In a seafaring world, a young pirate captain sets out with his crew to attain the title of Pirate King, and to discover the mythical treasure known as 'One Piece.'",0
Twisted Metal,30,NULL,7.5,"Follows a motor-mouthed outsider offered a chance at a better life, but only if he can successfully deliver a mysterious package across a post-apocalyptic wasteland.",4334
The Flash,144,UA,6.9,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.",126445
Jack Ryan,60,16+,8.0,"Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments.",160501
Transformers: Rise of the Beasts,127,UA,6.1,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.",62180
Game of Thrones,57,A,9.2,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.",2186960
Indiana Jones and the Dial of Destiny,154,UA,6.8,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,87700
Invincible,50,18,8.7,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,159339
The Boys,60,18+,8.7,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,570614
The Out-Laws,95,A,5.4,"A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.",24122
Justified,44,NULL,8.6,"Enforcing his own brand of justice, U.S. Marshal Raylan Givens, a strong-willed, quiet law-man haunted by his past, returns to his native town to see that justice is served to those in need.",109050
Guardians of the Galaxy Vol. 3,150,UA,8.1,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",237866
Spider-Man: Across the Spider-Verse,140,U,8.9,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",196674
The Marvels,0,NULL,0.0,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe.",0
Teenage Mutant Ninja Turtles: Mutant Mayhem,99,PG,7.7,The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.,518
Inception,148,UA,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",292580000
Tenet,150,UA,7.3,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",58460000
