movie,stars
The Witcher,"['Henry Cavill, ', 'Freya Allan, ', 'Anya Chalotra, ', 'Eamon Farren', '']"
Mission: Impossible - Dead Reckoning Part One,"['Tom Cruise, ', 'Hayley Atwell, ', 'Ving Rhames, ', 'Simon Pegg', '']"
Sound of Freedom,"['Jim Caviezel, ', 'Mira Sorvino, ', 'Bill Camp, ', 'Cristal Aparicio', '']"
Secret Invasion,"['Samuel L. Jackson, ', 'Emilia Clarke, ', 'Don Cheadle, ', 'Kingsley Ben-Adir', '']"
Special Ops: Lioness,"['Zoe Saldana, ', 'Laysla De Oliveira, ', 'Dave Annable, ', 'Nicole Kidman', '']"
They Cloned Tyrone,"['John Boyega, ', 'Jamie Foxx, ', 'Teyonah Parris, ', 'Kiefer Sutherland', '']"
Star Trek: Strange New Worlds,"['Anson Mount, ', 'Ethan Peck, ', 'Christina Chong, ', 'Melissa Navia', '']"
One Piece,"['Iñaki Godoy, ', 'Mackenyu, ', 'Emily Rudd, ', 'Jacob Romero', '']"
Twisted Metal,"['Anthony Mackie, ', 'Tahj Vaughans, ', 'Stephanie Beatriz, ', 'Chelle Ramos', '']"
The Flash,"['Ezra Miller, ', 'Michael Keaton, ', 'Sasha Calle, ', 'Michael Shannon', '']"
Jack Ryan,"['John Krasinski, ', 'Wendell Pierce, ', 'Michael Kelly, ', 'Abbie Cornish', '']"
Transformers: Rise of the Beasts,"['Anthony Ramos, ', 'Dominique Fishback, ', 'Luna Lauren Velez, ', 'Dean Scott Vazquez', '']"
Game of Thrones,"['Emilia Clarke, ', 'Peter Dinklage, ', 'Kit Harington, ', 'Lena Headey', '']"
Indiana Jones and the Dial of Destiny,"['Harrison Ford, ', 'Phoebe Waller-Bridge, ', 'Antonio Banderas, ', 'Karen Allen', '']"
Invincible,"['Steven Yeun, ', 'J.K. Simmons, ', 'Sandra Oh, ', 'Zazie Beetz', '']"
The Boys,"['Karl Urban, ', 'Jack Quaid, ', 'Antony Starr, ', 'Erin Moriarty', '']"
The Out-Laws,"['Adam Devine, ', 'Pierce Brosnan, ', 'Ellen Barkin, ', 'Nina Dobrev', '']"
Justified,"['Timothy Olyphant, ', 'Nick Searcy, ', 'Joelle Carter, ', 'Jacob Pitts', '']"
Guardians of the Galaxy Vol. 3,"['Chris Pratt, ', 'Chukwudi Iwuji, ', 'Bradley Cooper, ', 'Pom Klementieff', '']"
Spider-Man: Across the Spider-Verse,"['Shameik Moore, ', 'Hailee Steinfeld, ', 'Brian Tyree Henry, ', 'Luna Lauren Velez', '']"
The Marvels,"['Teyonah Parris, ', 'Zawe Ashton, ', 'Brie Larson, ', 'Samuel L. Jackson', '']"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"['Rose Byrne, ', 'Natasia Demetriou, ', 'Ayo Edebiri, ', 'John Cena', '']"
Inception,"['Leonardo DiCaprio, ', 'Joseph Gordon-Levitt, ', 'Elliot Page, ', 'Ken Watanabe', '']"
Tenet,"['John David Washington, ', 'Robert Pattinson, ', 'Elizabeth Debicki, ', 'Juhan Ulfsak', '']"
The Dark Knight,"['Christian Bale, ', 'Heath Ledger, ', 'Aaron Eckhart, ', 'Michael Caine', '']"
Guy Ritchie's The Covenant,"['Jake Gyllenhaal, ', 'Dar Salim, ', 'Sean Sagar, ', 'Jason Wong', '']"
Dunkirk,"['Fionn Whitehead, ', 'Barry Keoghan, ', 'Mark Rylance, ', 'Tom Hardy', '']"
Hidden Strike,"['John Cena, ', 'Jackie Chan, ', 'Pilou Asbæk, ', 'Rachael Holoway', '']"
Bawaal,"['Varun Dhawan, ', 'Janhvi Kapoor, ', 'Manoj Pahwa, ', 'Anjuman Saxena', '']"
John Wick: Chapter 4,"['Keanu Reeves, ', 'Laurence Fishburne, ', 'George Georgiou, ', 'Lance Reddick', '']"
Avatar: The Way of Water,"['Sam Worthington, ', 'Zoe Saldana, ', 'Sigourney Weaver, ', 'Stephen Lang', '']"
Jujutsu Kaisen,"['Junya Enoki, ', 'Adam McArthur, ', 'Yûichi Nakamura, ', 'Yuma Uchida', '']"
One Piece: Wan pîsu,"['Mayumi Tanaka, ', 'Laurent Vernin, ', 'Tony Beck, ', 'Akemi Okamura', '']"
Warrior,"['Andrew Koji, ', 'Langley Kirkwood, ', 'Olivia Cheng, ', 'Jason Tobin', '']"
The Last of Us,"['Pedro Pascal, ', 'Bella Ramsey, ', 'Anna Torv, ', 'Lamar Johnson', '']"
Dungeons & Dragons: Honor Among Thieves,"['Chris Pine, ', 'Michelle Rodriguez, ', 'Regé-Jean Page, ', 'Justice Smith', '']"
The Rookie,"['Nathan Fillion, ', 'Alyssa Diaz, ', 'Richard T. Jones, ', ""Melissa O'Neil"", '']"
Dune: Part One,"['Timothée Chalamet, ', 'Rebecca Ferguson, ', 'Zendaya, ', 'Oscar Isaac', '']"
Meg 2: The Trench,"['Jason Statham, ', 'Jing Wu, ', 'Cliff Curtis, ', 'Sienna Guillory', '']"
NCIS: Naval Criminal Investigative Service,"['David McCallum, ', 'Sean Murray, ', 'Mark Harmon, ', 'Brian Dietzen', '']"
Mission: Impossible - Fallout,"['Tom Cruise, ', 'Henry Cavill, ', 'Ving Rhames, ', 'Simon Pegg', '']"
Shingeki no Kyojin,"['Josh Grelle, ', 'Bryce Papenbrook, ', 'Yûki Kaji, ', 'Yui Ishikawa', '']"
Extraction 2,"['Chris Hemsworth, ', 'Golshifteh Farahani, ', 'Adam Bessa, ', 'Tornike Gogrichiani', '']"
Mission: Impossible,"['Tom Cruise, ', 'Jon Voight, ', 'Emmanuelle Béart, ', 'Henry Czerny', '']"
Miraculous - Le film,"['Annouck Hautbois, ', 'Benjamin Bollen, ', 'Antoine Tomé, ', 'Fanny Bloc', '']"
Fear the Night,"['Maggie Q, ', 'Ito Aghayere, ', 'Philip Burke, ', 'James Carpinello', '']"
The Batman,"['Robert Pattinson, ', 'Zoë Kravitz, ', 'Jeffrey Wright, ', 'Colin Farrell', '']"
Top Gun: Maverick,"['Tom Cruise, ', 'Jennifer Connelly, ', 'Miles Teller, ', 'Val Kilmer', '']"
The Meg,"['Jason Statham, ', 'Bingbing Li, ', 'Rainn Wilson, ', 'Cliff Curtis', '']"
Gen V,"['Jaz Sinclair, ', 'Patrick Schwarzenegger, ', 'Chance Perdomo, ', 'Clancy Brown', '']"
Resident Evil: Death Island,"['Matthew Mercer, ', 'Nicole Tompkins, ', 'Kevin Dorman, ', 'Stephanie Panisello', '']"
Gran Turismo,"['David Harbour, ', 'Orlando Bloom, ', 'Darren Barnet, ', 'Djimon Hounsou', '']"
Sisu,"['Jorma Tommila, ', 'Aksel Hennie, ', 'Jack Doolan, ', 'Mimosa Willamo', '']"
House of the Dragon,"['Rhys Ifans, ', 'Matt Smith, ', 'Graham McTavish, ', 'Fabien Frankel', '']"
Fast X,"['Vin Diesel, ', 'Michelle Rodriguez, ', 'Jason Statham, ', 'Jordana Brewster', '']"
Reacher,"['Alan Ritchson, ', 'Malcolm Goodwin, ', 'Willa Fitzgerald, ', 'Hugh Thompson', '']"
Star Trek: Lower Decks,"['Tawny Newsome, ', 'Jack Quaid, ', 'Noël Wells, ', 'Eugene Cordero', '']"
Barry,"['Bill Hader, ', 'Stephen Root, ', 'Sarah Goldberg, ', 'Anthony Carrigan', '']"
"Ruby Gillman, Teenage Kraken","['Jane Fonda, ', 'Lana Condor, ', 'Toni Collette, ', 'Colman Domingo', '']"
Almost Paradise,"['Christian Kane, ', 'Samantha Richelle, ', 'Arthur Acuña, ', 'Nonie Buencamino', '']"
The Flash,"['Grant Gustin, ', 'Candice Patton, ', 'Danielle Panabaker, ', 'Carlos Valdes', '']"
Nimona,"['Chloë Grace Moretz, ', 'Riz Ahmed, ', 'Eugene Lee Yang, ', 'Frances Conroy', '']"
Vikings,"['Katheryn Winnick, ', 'Gustaf Skarsgård, ', 'Alexander Ludwig, ', 'Georgia Hirst', '']"
Dune: Part Two,"['Timothée Chalamet, ', 'Zendaya, ', 'Rebecca Ferguson, ', 'Josh Brolin', '']"
The Mandalorian,"['Pedro Pascal, ', 'Chris Bartlett, ', 'Katee Sackhoff, ', 'Carl Weathers', '']"
Paradise,"['Lisa-Marie Koroll, ', 'Dalila Abdallah, ', 'Numan Acar, ', 'Simon Amberger', '']"
The Night Agent,"['Gabriel Basso, ', 'Luciane Buchanan, ', 'Fola Evans-Akingbola, ', 'Sarah Desjardins', '']"
Justice League: Warworld,"['Jensen Ackles, ', 'Ike Amadi, ', 'Troy Baker, ', 'Matt Bomer', '']"
Mission: Impossible - Rogue Nation,"['Tom Cruise, ', 'Rebecca Ferguson, ', 'Jeremy Renner, ', 'Simon Pegg', '']"
The Dark Knight Rises,"['Christian Bale, ', 'Tom Hardy, ', 'Anne Hathaway, ', 'Gary Oldman', '']"
65,"['Adam Driver, ', 'Ariana Greenblatt, ', 'Chloe Coleman, ', 'Nika King', '']"
Napoleon,"['Vanessa Kirby, ', 'Joaquin Phoenix, ', 'Ben Miles, ', 'Ludivine Sagnier', '']"
